******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       0       0       0       0
ROBO COLLOSION:       0       0       0       0       0
         1_BUY:       0       0       0       0       0
        1_SELL:       0       0       0       0       0
         2_BUY:       0       0       0       0       0
        2_SELL:       0       0       0       0       0
         3_BUY:       0       0       0       0       0
        3_SELL:       0       0       0       0       0
         4_BUY:       0       0       0       0       0
        4_SELL:       0       0       0       0       0
         5_BUY:       0       0       0       0       0
        5_SELL:       0       0       0       0       0
         6_BUY:       0       0       0       0       0
        6_SELL:       0       0       0       0       0
         7_BUY:       0       0       0       0       0
        7_SELL:       0       0       0       0       0
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       0       0       0       0
ROBO COLLOSION:       0       0       0       0       0
         1_BUY:       0       0       0       0       0
        1_SELL:       0       0       0       0       0
         2_BUY:       0       0       0       0       0
        2_SELL:       0       0       0       0       0
         3_BUY:       0       0       0       0       0
        3_SELL:       0       0       0       0       0
         4_BUY:       0       0       0       0       0
        4_SELL:       0       0       0       0       0
         5_BUY:       0       0       0       0       0
        5_SELL:       0       0       0       0       0
         6_BUY:       0       0       0       0       0
        6_SELL:       0       0       0       0       0
         7_BUY:       0       0       0       0       0
        7_SELL:       0       0       0       0       0
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0       0       0       0       0
ROBO COLLOSION:       0       0       0       0       0
         1_BUY:       0       0       0       0       0
        1_SELL:       0       0       0       0       0
         2_BUY:       0       0       0       0       0
        2_SELL:       0       0       0       0       0
         3_BUY:       0       0       0       0       0
        3_SELL:       0       0       0       0       0
         4_BUY:       0       0       0       0       0
        4_SELL:       0       0       0       0       0
         5_BUY:       0       0       0       0       0
        5_SELL:       0       0       0       0       0
         6_BUY:       0       0       0       0       0
        6_SELL:       0       0       0       0       0
         7_BUY:       0       0       0       0       0
        7_SELL:       0       0       0       0       0
******************************LOG INFORMATION END*******************************


******************************LOG INFORMATION START******************************
         ROBOT:       1       2       3       4   TOTAL
WALL COLLOSION:       0     116       0       0     116
ROBO COLLOSION:      31      36       0      16      83
         1_BUY:       4       2       2       2      10
        1_SELL:       4       2       1       2       9
         2_BUY:       2       3       1       2       8
        2_SELL:       2       3       1       2       8
         3_BUY:       3       5       0       2      10
        3_SELL:       3       5       0       2      10
         4_BUY:       1       1       0       1       3
        4_SELL:       1       1       0       1       3
         5_BUY:       1       2       0       0       3
        5_SELL:       1       2       0       0       3
         6_BUY:       1       1       0       1       3
